date,cases
2020-01-31,4
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,2
2020-02-07,0
2020-02-08,1
2020-02-09,2
2020-02-10,8
2020-02-11,0
2020-02-12,2
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,12
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,6
2020-02-28,7
2020-02-29,8
2020-03-01,28
2020-03-02,9
2020-03-03,27
2020-03-04,70
2020-03-05,62
2020-03-06,102
2020-03-07,92
2020-03-08,136
2020-03-09,108
2020-03-10,129
2020-03-11,191
2020-03-12,306
2020-03-13,464
2020-03-14,703
2020-03-15,495
2020-03-16,344
2020-03-17,857
2020-03-18,1393
2020-03-19,1336
2020-03-20,798
2020-03-21,1102
2020-03-22,739
2020-03-23,1104
2020-03-24,1594
2020-03-25,1640
2020-03-26,2350
2020-03-27,3159
2020-03-28,2750
2020-03-29,2630
2020-03-30,2936
2020-03-31,3350
2020-04-01,4713
2020-04-02,4595
2020-04-03,4830
2020-04-04,3992
2020-04-05,6139
2020-04-06,4206
2020-04-07,3985
2020-04-08,5834
2020-04-09,4877
2020-04-10,5523
2020-04-11,5419
2020-04-12,5508
2020-04-13,4701
2020-04-14,5597
2020-04-15,4936
2020-04-16,5046
2020-04-17,5993
2020-04-18,5790
2020-04-19,6009
2020-04-20,5024
2020-04-21,4700
2020-04-22,4791
2020-04-23,4897
2020-04-24,5692
2020-04-25,5097
2020-04-26,4634
2020-04-27,4744
2020-04-28,4379
2020-04-29,4507
2020-04-30,6369
2020-05-01,6576
2020-05-02,5028
2020-05-03,4527
2020-05-04,4313
2020-05-05,4694
2020-05-06,6418
2020-05-07,5911
2020-05-08,4906
2020-05-09,4076
2020-05-10,4076
2020-05-11,4142
2020-05-12,3633
2020-05-13,3440
2020-05-14,3657
2020-05-15,3711
2020-05-16,3554
2020-05-17,3235
2020-05-18,2824
2020-05-19,2594
2020-05-20,2593
2020-05-21,2726
2020-05-22,3378
2020-05-23,3009
2020-05-24,2462
2020-05-25,1721
2020-05-26,2472
2020-05-27,2083
2020-05-28,1942
2020-05-29,2125
2020-05-30,2485
2020-05-31,1959
2020-06-01,1608
2020-06-02,1658
2020-06-03,1905
2020-06-04,1840
2020-06-05,1674
2020-06-06,1579
2020-06-07,1343
2020-06-08,1223
2020-06-09,1414
2020-06-10,1032
2020-06-11,1288
2020-06-12,1571
2020-06-13,1447
2020-06-14,1527
2020-06-15,1296
2020-06-16,1296
2020-06-17,33
2020-06-18,14
2020-06-19,24
2020-06-20,6
2020-06-21,9
2020-06-22,10
2020-06-23,20
2020-06-24,8
2020-06-25,19
2020-06-26,6
2020-06-27,4
2020-06-28,3
2020-06-29,14
2020-06-30,8
2020-07-01,11
2020-07-02,13
2020-07-03,7
2020-07-04,5
2020-07-05,2
2020-07-06,8
2020-07-07,11
2020-07-08,10
2020-07-09,8
2020-07-10,12
2020-07-11,9
2020-07-12,2
2020-07-13,19
2020-07-14,10
2020-07-15,16
2020-07-16,22
2020-07-17,8
2020-07-18,14
2020-07-19,17
2020-07-20,14
2020-07-21,19
2020-07-22,18
2020-07-23,23
2020-07-24,11
2020-07-25,3
2020-07-26,7
2020-07-27,13
2020-07-28,24
2020-07-29,30
2020-07-30,28
2020-07-31,21
2020-08-01,23
2020-08-02,19
2020-08-03,60
2020-08-04,57
2020-08-05,65
2020-08-06,63
2020-08-07,46
2020-08-08,27
2020-08-09,26
2020-08-10,58
2020-08-11,65
2020-08-12,48
2020-08-13,53
2020-08-14,51
2020-08-15,21
2020-08-16,30
2020-08-17,72
2020-08-18,78
2020-08-19,91
2020-08-20,141
2020-08-21,90
2020-08-22,47
2020-08-23,65
2020-08-24,60
2020-08-25,71
2020-08-26,98
2020-08-27,100
2020-08-28,104
2020-08-29,95
2020-08-30,102
2020-08-31,144
2020-09-01,1871
2020-09-02,2470
2020-09-03,2544
2020-09-04,2416
2020-09-05,2104
2020-09-06,2017
2020-09-07,3197
2020-09-08,2651
2020-09-09,2658
2020-09-10,2811
2020-09-11,2500
2020-09-12,2000
2020-09-13,1486
2020-09-14,2395
2020-09-15,2494
2020-09-16,3130
2020-09-17,3385
2020-09-18,3744
2020-09-19,3760
2020-09-20,4344
2020-09-21,4178
2020-09-22,4680
2020-09-23,5359
2020-09-24,5980
2020-09-25,5606
2020-09-26,5248
2020-09-27,5716
2020-09-28,7941
2020-09-29,8006
2020-09-30,9925
2020-10-01,10756
2020-10-02,11098
2020-10-03,9321
2020-10-04,9597
2020-10-05,13300
2020-10-06,13631
2020-10-07,14550
2020-10-08,14807
2020-10-09,12359
2020-10-10,9878
2020-10-11,9392
2020-10-12,15414
2020-10-13,14667
2020-10-14,15384
2020-10-15,14361
2020-10-16,13698
2020-10-17,11583
2020-10-18,11020
2020-10-19,20586
2020-10-20,19965
2020-10-21,19987
2020-10-22,18290
2020-10-23,16695
2020-10-24,12536
2020-10-25,12271
2020-10-26,21059
2020-10-27,18839
2020-10-28,18754
2020-10-29,17994
2020-10-30,17652
2020-10-31,13226
2020-11-01,12394
2020-11-02,25234
2020-11-03,19948
2020-11-04,18577
2020-11-05,19132
2020-11-06,18791
2020-11-07,15421
2020-11-08,16528
2020-11-09,25222
2020-11-10,21393
2020-11-11,22153
