date,n
2020-08-10,1
2020-08-11,2
2020-08-12,2
2020-08-14,4
2020-08-15,1
2020-08-16,2
2020-08-17,1
2020-08-18,4
2020-08-19,1
2020-08-20,2
2020-08-21,1
2020-08-22,1
2020-08-23,3
2020-08-25,1
2020-08-26,1
2020-08-27,1
2020-08-29,1
2020-09-02,2
2020-09-03,1
2020-09-04,2
2020-09-05,1
2020-09-06,1
2020-09-08,2
2020-09-09,1
2020-09-10,2
2020-09-11,2
2020-09-14,1
2020-09-15,2
2020-09-16,2
2020-09-19,1
2020-09-21,1
2020-09-22,1
2020-09-23,1
2020-09-27,1
2020-09-29,3
2020-10-01,1
2020-10-11,1
2020-10-12,1
2020-10-13,2
2020-10-15,2
2020-10-21,2
2020-10-22,8
2020-10-23,4
2020-11-04,1
2020-11-05,3
2020-11-10,22
2020-11-15,2
2020-11-16,4
2020-11-17,9
2020-11-18,20
2020-11-19,8
2020-11-20,4
2020-11-21,5
2020-11-22,3
2020-12-25,1
2020-12-26,3
2020-12-27,6
2020-12-28,25
2020-12-29,14
2020-12-30,31
2020-12-31,37
2021-01-01,14
2021-01-02,4
2021-01-08,5
2021-01-09,13
2021-01-10,18
2021-01-11,9
2021-01-12,10
2021-01-13,25
2021-01-14,22
2021-01-15,45
2021-01-16,6
2021-01-19,1
2021-01-20,29
2021-01-21,14
2021-01-22,16
2021-01-23,33
2021-01-24,31
2021-01-25,27
2021-01-26,33
2021-01-27,46
2021-01-28,29
2021-01-29,33
2021-01-30,39
2021-01-31,23
2021-02-01,33
2021-02-02,25
2021-02-03,22
2021-02-04,20
2021-02-05,15
2021-02-06,17
2021-02-07,16
2021-02-08,20
2021-02-09,16
2021-02-10,18
2021-02-11,21
2021-02-12,17
2021-02-13,13
2021-02-14,15
2021-02-15,14
2021-02-16,16
2021-02-17,19
2021-02-18,18
2021-02-19,21
2021-02-20,20
2021-02-21,14
2021-02-22,14
2021-02-23,22
2021-02-24,18
2021-02-25,16
2021-02-26,11
2021-02-27,10
2021-02-28,7
2021-03-01,3
2021-03-05,13
2021-03-12,16
2021-03-13,17
2021-03-19,22
2021-03-20,17
2021-03-21,3
2021-03-22,16
2021-03-23,9
2021-03-24,15
2021-03-25,16
2021-03-26,10
2021-04-07,6
2021-04-08,22
2021-04-09,26
2021-04-10,13
2021-04-11,14
2021-04-12,4
2021-04-13,8
2021-04-21,11
2021-04-22,17
2021-04-23,9
2021-04-24,1
2021-04-26,4
2021-04-27,15
2021-04-28,20
2021-05-24,11
2021-05-25,23
2021-05-26,32
2021-05-27,26
2021-05-28,31
2021-05-29,30
2021-05-30,8
2021-06-15,14
2021-06-16,18
2021-06-17,12
2021-06-18,8
2021-06-19,18
2021-06-20,6
2021-06-21,9
2021-06-22,12
2021-06-23,9
2021-06-24,7
2021-06-30,9
2021-07-01,16
2021-07-02,16
2021-07-03,37
2021-07-04,17
2021-07-05,18
2021-07-06,26
2021-07-09,7
2021-07-10,24
2021-07-11,12
2021-07-12,13
