date,user_country,n
2020-08-10,Netherlands,1
2020-08-11,India,1
2020-08-11,NA,1
2020-08-12,United Kingdom,1
2020-08-12,NA,1
2020-08-14,India,1
2020-08-14,United States,1
2020-08-14,NA,2
2020-08-15,United States,1
2020-08-16,United Kingdom,1
2020-08-16,NA,1
2020-08-17,NA,1
2020-08-18,Australia,1
2020-08-18,Pakistan,1
2020-08-18,NA,2
2020-08-19,NA,1
2020-08-20,India,2
2020-08-21,India,1
2020-08-22,NA,1
2020-08-23,India,1
2020-08-23,Sri Lanka,1
2020-08-23,NA,1
2020-08-25,United States,1
2020-08-26,NA,1
2020-08-27,United Arab Emirates,1
2020-08-29,United States,1
2020-09-02,Colombia,1
2020-09-02,United States,1
2020-09-03,India,1
2020-09-04,India,1
2020-09-04,NA,1
2020-09-05,United States,1
2020-09-06,United States,1
2020-09-08,United States,1
2020-09-08,NA,1
2020-09-09,India,1
2020-09-10,Kenya,1
2020-09-10,NA,1
2020-09-11,NA,2
2020-09-14,India,1
2020-09-15,Australia,1
2020-09-15,United States,1
2020-09-16,Saudi Arabia,1
2020-09-16,NA,1
2020-09-19,NA,1
2020-09-21,Colombia,1
2020-09-22,United Kingdom,1
2020-09-23,NA,1
2020-09-27,India,1
2020-09-29,Russia,1
2020-09-29,United States,2
2020-10-01,India,1
2020-10-11,India,1
2020-10-12,India,1
2020-10-13,India,1
2020-10-13,United States,1
2020-10-15,United Kingdom,1
2020-10-15,United States,1
2020-10-21,India,1
2020-10-21,United Kingdom,1
2020-10-22,India,2
2020-10-22,Philippines,1
2020-10-22,United Arab Emirates,1
2020-10-22,United Kingdom,2
2020-10-22,NA,2
2020-10-23,Hong Kong SAR China,1
2020-10-23,United Kingdom,1
2020-10-23,United States,1
2020-10-23,NA,1
2020-11-04,NA,1
2020-11-05,Australia,1
2020-11-05,Canada,1
2020-11-05,India,1
2020-11-10,Canada,1
2020-11-10,India,2
2020-11-10,United Kingdom,5
2020-11-10,United States,5
2020-11-10,NA,9
2020-11-15,United States,1
2020-11-15,NA,1
2020-11-16,United Kingdom,2
2020-11-16,United States,1
2020-11-16,NA,1
2020-11-17,India,4
2020-11-17,Ireland,1
2020-11-17,Kenya,1
2020-11-17,United Arab Emirates,1
2020-11-17,United Kingdom,1
2020-11-17,NA,1
2020-11-18,Colombia,1
2020-11-18,India,1
2020-11-18,Kenya,1
2020-11-18,Niger,1
2020-11-18,United Kingdom,5
2020-11-18,United States,5
2020-11-18,NA,6
2020-11-19,India,1
2020-11-19,Pakistan,1
2020-11-19,United States,3
2020-11-19,NA,3
2020-11-20,Lebanon,1
2020-11-20,Turkey,1
2020-11-20,United Kingdom,1
2020-11-20,United States,1
2020-11-21,India,1
2020-11-21,United States,3
2020-11-21,NA,1
2020-11-22,India,1
2020-11-22,NA,2
2020-12-25,United States,1
2020-12-26,United States,2
2020-12-26,NA,1
2020-12-27,Australia,1
2020-12-27,Canada,1
2020-12-27,United Kingdom,1
2020-12-27,NA,3
2020-12-28,Colombia,1
2020-12-28,India,1
2020-12-28,South Africa,2
2020-12-28,Turkey,1
2020-12-28,United Kingdom,3
2020-12-28,United States,3
2020-12-28,NA,14
2020-12-29,Argentina,1
2020-12-29,United Kingdom,2
2020-12-29,United States,4
2020-12-29,NA,7
2020-12-30,Australia,1
2020-12-30,Bulgaria,5
2020-12-30,Denmark,1
2020-12-30,Kenya,1
2020-12-30,Philippines,1
2020-12-30,United Kingdom,1
2020-12-30,United States,7
2020-12-30,NA,14
2020-12-31,Canada,1
2020-12-31,Iceland,1
2020-12-31,Niger,1
2020-12-31,South Africa,1
2020-12-31,Spain,1
2020-12-31,United Kingdom,4
2020-12-31,United States,8
2020-12-31,NA,20
2021-01-01,India,1
2021-01-01,United Kingdom,3
2021-01-01,United States,5
2021-01-01,NA,5
2021-01-02,India,1
2021-01-02,United States,2
2021-01-02,NA,1
2021-01-08,India,1
2021-01-08,United Kingdom,1
2021-01-08,United States,2
2021-01-08,NA,1
2021-01-09,Canada,1
2021-01-09,Hanover,1
2021-01-09,India,1
2021-01-09,United Kingdom,3
2021-01-09,United States,2
2021-01-09,NA,5
2021-01-10,India,5
2021-01-10,United Kingdom,3
2021-01-10,United States,3
2021-01-10,NA,7
2021-01-11,India,2
2021-01-11,United Kingdom,3
2021-01-11,United States,1
2021-01-11,NA,3
2021-01-12,Denmark,1
2021-01-12,India,1
2021-01-12,Ireland,1
2021-01-12,United States,3
2021-01-12,NA,4
2021-01-13,Canada,1
2021-01-13,India,1
2021-01-13,Ireland,1
2021-01-13,United Kingdom,3
2021-01-13,United States,9
2021-01-13,NA,10
2021-01-14,Pakistan,1
2021-01-14,United Kingdom,7
2021-01-14,United States,5
2021-01-14,NA,9
2021-01-15,Australia,1
2021-01-15,Canada,2
2021-01-15,India,3
2021-01-15,Ireland,2
2021-01-15,Philippines,1
2021-01-15,Somalia,1
2021-01-15,Spain,1
2021-01-15,United Kingdom,6
2021-01-15,United States,20
2021-01-15,NA,8
2021-01-16,United Kingdom,2
2021-01-16,United States,3
2021-01-16,NA,1
2021-01-19,United States,1
2021-01-20,Canada,3
2021-01-20,India,3
2021-01-20,Kuwait,1
2021-01-20,Nigeria,1
2021-01-20,United Kingdom,5
2021-01-20,United States,8
2021-01-20,NA,8
2021-01-21,France,1
2021-01-21,India,2
2021-01-21,United Kingdom,3
2021-01-21,United States,2
2021-01-21,NA,6
2021-01-22,Canada,1
2021-01-22,India,1
2021-01-22,Ireland,3
2021-01-22,United Kingdom,2
2021-01-22,United States,6
2021-01-22,NA,3
