model,date,mean,lower,upper,ci_level,forecast_date
arima,2020-03-01,-0.31739758839871646,-0.8864267313912282,1.4129778197829626,95,2020-03-01
arima,2020-03-02,1.592119658399494,-0.5687159945622311,8.163060567829026,95,2020-03-01
arima,2020-03-03,3.019824644324722,-0.33117050820573557,13.209952294985932,95,2020-03-01
arima,2020-03-04,2.22798179736921,-0.4629195012142614,10.41081300981298,95,2020-03-01
arima,2020-03-05,0.12157407601651038,-0.8133894173434456,2.9647286936695862,95,2020-03-01
arima,2020-03-06,0.09922310796683242,-0.8165684772583837,2.879624525649322,95,2020-03-01
arima,2020-03-07,0.025972483193862667,-0.8287920863077788,2.621092007621966,95,2020-03-01
arima,2020-03-08,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-09,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-10,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-11,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-12,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-13,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-14,1.3342481584003798,-0.7244164970200785,8.85618527551649,95,2020-03-01
arima,2020-03-15,845.6754565186689,119.99608997407859,3241.048215074635,95,2020-03-15
arima,2020-03-16,1032.3753302327189,110.17652350023336,4570.821341299269,95,2020-03-15
arima,2020-03-17,1254.5217672918752,103.45255488693735,6304.141064884474,95,2020-03-15
arima,2020-03-18,1518.3482502939014,98.76677487746736,8552.413664546337,95,2020-03-15
arima,2020-03-19,1831.1344538478193,95.52380268551062,11454.19590138112,95,2020-03-15
arima,2020-03-20,2201.376393219226,93.36096777343654,15181.94756186272,95,2020-03-15
arima,2020-03-21,2638.98362552474,92.04487084319577,19950.13354862635,95,2020-03-15
arima,2020-03-22,3155.507731904835,91.41935086406248,26025.072418228603,95,2020-03-15
arima,2020-03-23,3764.406960924046,91.37711428354685,33736.950044410165,95,2020-03-15
arima,2020-03-24,4481.352665421429,91.84327483709805,43494.48382051135,95,2020-03-15
arima,2020-03-25,5324.584030918333,92.76532222848468,55802.816383522506,95,2020-03-15
arima,2020-03-26,6315.31859185846,94.10676192546943,71285.33553916187,95,2020-03-15
arima,2020-03-27,7478.227181715578,95.84295142197962,90710.26095045722,95,2020-03-15
arima,2020-03-28,8841.983287422981,97.95830368978565,115023.01240979251,95,2020-03-15
arima,2020-04-01,4920.629336435818,930.6267086029633,16228.262231745102,95,2020-04-01
arima,2020-04-02,5878.439948532212,881.0653605762319,21949.20034900124,95,2020-04-01
arima,2020-04-03,7003.121017621231,849.2224549900528,29160.189334564624,95,2020-04-01
arima,2020-04-04,8322.006294847764,829.5795399468648,38224.67141112918,95,2020-04-01
arima,2020-04-05,9866.733996010898,818.9644132835115,49582.809948532165,95,2020-04-01
arima,2020-04-06,11673.906378746462,815.4235875728192,63769.21813027562,95,2020-04-01
arima,2020-04-07,13785.848376468632,817.6982963822251,81433.4386431062,95,2020-04-01
arima,2020-04-08,16251.479938085033,824.9547790450424,103364.18132314016,95,2020-04-01
arima,2020-04-09,19127.318863097826,836.6345142924637,130518.23656041537,95,2020-04-01
