model,date,mean,lower,upper,ci_level,forecast_date
arima_tweet,2020-03-01,-0.10040535369127257,-0.8703143635018469,2.4291021803482002,95,2020-03-01
arima_tweet,2020-03-02,2.084066175472203,-0.5554007722596782,10.755937067457548,95,2020-03-01
arima_tweet,2020-03-03,2.084066175472203,-0.5554007722596782,10.755937067457548,95,2020-03-01
arima_tweet,2020-03-04,2.084066175472203,-0.5554007722596782,10.755937067457548,95,2020-03-01
arima_tweet,2020-03-05,0.2111147492702053,-0.8254056005145627,3.6165639628149897,95,2020-03-01
arima_tweet,2020-03-06,0.13587140414290916,-0.8362526870327005,3.329749100088833,95,2020-03-01
arima_tweet,2020-03-07,0.07339191950681534,-0.8452597346723971,3.0915879009476805,95,2020-03-01
arima_tweet,2020-03-08,2.9703303589835235,-0.548451107232887,16.0831435821899,95,2020-03-01
arima_tweet,2020-03-09,1.196874801670783,-0.7501476465271159,8.452494950367875,95,2020-03-01
arima_tweet,2020-03-10,1.1968748016707833,-0.750147646527116,8.452494950367875,95,2020-03-01
arima_tweet,2020-03-11,1.196874801670783,-0.7501476465271159,8.452494950367875,95,2020-03-01
arima_tweet,2020-03-12,2.4418796385229435,-0.6085522364049278,13.80937824792908,95,2020-03-01
arima_tweet,2020-03-13,2.549573904149034,-0.5963040802135755,14.272754449677123,95,2020-03-01
arima_tweet,2020-03-14,2.6473605704524594,-0.5851827233133438,14.693501216635594,95,2020-03-01
arima_tweet,2020-03-15,481.1357663511329,60.46016441469252,1957.0028167817723,95,2020-03-15
arima_tweet,2020-03-16,532.6220702009516,44.39768822836479,2649.7775999186238,95,2020-03-15
arima_tweet,2020-03-17,584.1083740507703,33.888023093009075,3448.297620648288,95,2020-03-15
arima_tweet,2020-03-18,635.594677900589,26.551390419058855,4366.8076936760835,95,2020-03-15
arima_tweet,2020-03-19,687.0809817504078,21.201617611601243,5419.288609103719,95,2020-03-15
arima_tweet,2020-03-20,738.5672856002266,17.174867502758083,6620.185822982036,95,2020-03-15
arima_tweet,2020-03-21,790.0535894500451,14.06927639497197,7984.730163127884,95,2020-03-15
arima_tweet,2020-03-22,841.5398932998639,11.62724798442549,9529.118929497998,95,2020-03-15
arima_tweet,2020-03-23,893.0261971496827,9.676277584311503,11270.641646024074,95,2020-03-15
arima_tweet,2020-03-24,944.5125009995013,8.096768983730795,13227.782137818445,95,2020-03-15
arima_tweet,2020-03-25,995.9988048493201,6.803433771659365,15420.310485249258,95,2020-03-15
arima_tweet,2020-03-26,1047.4851086991387,5.734005311389623,17869.371269280393,95,2020-03-15
arima_tweet,2020-03-27,1098.9714125489572,4.842112669886854,20597.571414777154,95,2020-03-15
arima_tweet,2020-03-28,1150.4577163987763,4.092628913820461,23629.069474973985,95,2020-03-15
arima_tweet,2020-04-01,4850.129971787511,927.013220890912,15903.920502629508,95,2020-04-01
arima_tweet,2020-04-02,5853.210314932037,841.9158895865229,22328.390500118152,95,2020-04-01
arima_tweet,2020-04-03,7034.541421830932,784.5674894706516,30551.94307107479,95,2020-04-01
arima_tweet,2020-04-04,8423.443492557533,744.651185053654,41045.51442581979,95,2020-04-01
arima_tweet,2020-04-05,10053.838142004533,716.6682981679164,54382.064569066984,95,2020-04-01
arima_tweet,2020-04-06,11964.94804505101,697.3862867241446,71262.50516248799,95,2020-04-01
arima_tweet,2020-04-07,14202.100569648863,684.7731936559906,92545.03596709247,95,2020-04-01
arima_tweet,2020-04-08,16817.650590298173,677.4895965432125,119279.80917982761,95,2020-04-01
arima_tweet,2020-04-09,19872.03986489262,674.6222586872973,152750.42263923713,95,2020-04-01
arima_tweet,2020-04-10,23435.012860087787,675.5341331072423,194523.78470008823,95,2020-04-01
arima_tweet,2020-04-11,27587.011769446544,679.7750311279551,246510.10069278567,95,2020-04-01
arima_tweet,2020-04-12,32420.77673470041,687.0259843521097,311035.03180481953,95,2020-04-01
arima_tweet,2020-04-13,38043.18100949288,697.0633100011559,390926.45664851664,95,2020-04-01
arima_tweet,2020-04-14,44577.33506643651,709.7347054419391,489618.72637527104,95,2020-04-01
arima_tweet,2020-04-15,7342.796271760365,1679.4837189404493,21787.61228159911,95,2020-04-15
arima_tweet,2020-04-16,9107.129068615302,1556.6846157080558,31726.789166025395,95,2020-04-15
arima_tweet,2020-04-17,9989.078184694665,1319.660026086648,39821.54129504189,95,2020-04-15
arima_tweet,2020-04-18,12638.083449715497,1321.8025585378027,56690.72555123031,95,2020-04-15
arima_tweet,2020-04-19,14814.52694896486,1249.2042268773687,73888.27744739213,95,2020-04-15
arima_tweet,2020-04-20,17316.657453392763,1194.5762247605069,95176.17120355999,95,2020-04-15
arima_tweet,2020-04-21,20189.769433039175,1153.2575054525164,121437.120221389,95,2020-04-15
arima_tweet,2020-04-22,22.657578293307704,0.1313911558387979,153.84902852161147,95,2020-04-15
arima_tweet,2020-04-23,74876.06354611818,3021.048959009719,530924.7483407625,95,2020-04-15
arima_tweet,2020-04-24,830.8740465437224,27.553360549718388,6364.373839959533,95,2020-04-15
arima_tweet,2020-04-25,90342.84794254185,2654.1924484100964,743581.6346402989,95,2020-04-15
arima_tweet,2020-04-26,42173.18928262199,1066.7677189783813,372321.56492377416,95,2020-04-15
arima_tweet,2020-04-27,48620.76842517611,1065.2656779137808,459279.91093695274,95,2020-04-15
arima_tweet,2020-04-28,55976.05240400632,1067.5618800341608,564535.2426231633,95,2020-04-15
arima_tweet,2020-05-01,7628.5757523012135,1911.356693055548,21480.189035076888,95,2020-05-01
arima_tweet,2020-05-02,8762.802006770376,1729.5149419059214,28236.38680903395,95,2020-05-01
arima_tweet,2020-05-03,10039.970070050502,1600.0787906863688,36303.4441280461,95,2020-05-01
arima_tweet,2020-05-04,11476.675060316331,1503.8561712859878,45945.257460853616,95,2020-05-01
arima_tweet,2020-05-05,13091.34619421907,1430.416201996325,57457.1774558945,95,2020-05-01
arima_tweet,2020-05-06,14904.442941249701,1373.5032652678544,71176.81278038809,95,2020-05-01
arima_tweet,2020-05-07,16938.67166966241,1329.0999178464888,87493.10382469943,95,2020-05-01
arima_tweet,2020-05-08,19219.22488688508,1294.492726713719,106855.44318122504,95,2020-05-01
arima_tweet,2020-05-09,21774.045390693274,1267.7770573208143,129783.55602513466,95,2020-05-01
arima_tweet,2020-05-10,25009.45705255621,1266.598334633713,159268.74300375214,95,2020-05-01
arima_tweet,2020-05-11,27833.790844024472,1232.86618042687,188835.32981238092,95,2020-05-01
arima_tweet,2020-05-12,16060.592429953882,624.7918228375851,115791.0513705667,95,2020-05-01
