model,date,mean,lower,upper,ci_level,forecast_date
ensemble,2020-03-01,0.5502346347485163,-0.8615915462227,7.072013107627406,95,2020-03-01
ensemble,2020-03-02,1.926605377700895,-0.5843589670117245,10.34540138773366,95,2020-03-01
ensemble,2020-03-03,2.4143488865224474,-0.539277342855456,12.09343785176723,95,2020-03-01
ensemble,2020-03-04,2.162378687345523,-0.5543813217849165,11.113699855172074,95,2020-03-01
ensemble,2020-03-05,0.8480401829540865,-0.7951890162952208,7.632465029023646,95,2020-03-01
ensemble,2020-03-06,0.827761994742824,-0.8030764248065098,7.677456362641891,95,2020-03-01
ensemble,2020-03-07,0.7949121742596429,-0.8143287000813817,7.72386761141912,95,2020-03-01
ensemble,2020-03-08,2.2091856743424194,-0.6491205777092491,12.940072093346547,95,2020-03-01
ensemble,2020-03-09,1.6307128288031636,-0.7085802236327514,10.331092506186843,95,2020-03-01
ensemble,2020-03-10,1.6435370317822209,-0.7080723684740026,10.39980491542005,95,2020-03-01
ensemble,2020-03-11,1.656508100540534,-0.7075758709080667,10.469723411910868,95,2020-03-01
ensemble,2020-03-12,2.0846293370789946,-0.6563853722503146,12.275220866672235,95,2020-03-01
ensemble,2020-03-13,2.1337973142508915,-0.6529136491486527,12.512647387356278,95,2020-03-01
ensemble,2020-03-14,2.17981475169877,-0.6498216309226805,12.736502380989219,95,2020-03-01
ensemble,2020-03-15,796.0191325795188,87.24159263047918,3267.3499496874824,95,2020-03-15
ensemble,2020-03-16,1018.8999700999398,71.11253949395385,4894.448486562234,95,2020-03-15
ensemble,2020-03-17,1318.633826644022,59.08600506781603,7368.572549048207,95,2020-03-15
ensemble,2020-03-18,1728.7237656576838,49.87755651954805,11201.950662243635,95,2020-03-15
ensemble,2020-03-19,2298.409235967168,42.63744594321739,17237.307654398217,95,2020-03-15
ensemble,2020-03-20,3100.1407664299977,36.81469033355652,26876.613204543046,95,2020-03-15
ensemble,2020-03-21,4240.544642188981,32.04352703492075,42475.49392835814,95,2020-03-15
ensemble,2020-03-22,5876.465411793076,28.073134471990265,68026.61121250594,95,2020-03-15
ensemble,2020-03-23,8238.37751386779,24.72607558445453,110350.13988415168,95,2020-03-15
ensemble,2020-03-24,11664.464787552719,21.873299080259695,181179.0378614388,95,2020-03-15
ensemble,2020-03-25,16650.106689923283,19.41875596650256,300831.7912548039,95,2020-03-15
ensemble,2020-03-26,23919.564531730837,17.289516029544732,504716.7163572699,95,2020-03-15
ensemble,2020-03-27,34529.58684463567,15.42925166344013,854913.5382685119,95,2020-03-15
ensemble,2020-03-28,50018.81246753835,13.793812117061224,1460906.123206715,95,2020-03-15
ensemble,2020-04-01,4957.472858590337,932.6720481389931,16405.13912457696,95,2020-04-01
ensemble,2020-04-02,5936.381642596327,872.9046052487399,22381.14476148525,95,2020-04-01
ensemble,2020-04-03,7112.4012201096375,824.6670155048794,30285.920101990265,95,2020-04-01
ensemble,2020-04-04,8526.749105200077,783.5494103136643,40779.85656199988,95,2020-04-01
ensemble,2020-04-05,10229.290594807124,746.7866438060372,54766.592282834434,95,2020-04-01
ensemble,2020-04-06,12280.310813487215,712.6101952715883,73485.26562453186,95,2020-04-01
ensemble,2020-04-07,14752.63752918112,679.8814922392335,98641.24394589248,95,2020-04-01
ensemble,2020-04-08,17734.1817160934,647.8716523369649,132592.12193589477,95,2020-04-01
ensemble,2020-04-09,21330.975207953998,616.12503276847394,178613.68875876718,95,2020-04-01
ensemble,2020-04-10,25670.79936833127,584.3725555870759,241282.33341031196,95,2020-04-01
ensemble,2020-04-11,30907.515892051408,552.4762474398709,327028.06975151313,95,2020-04-01
ensemble,2020-04-12,37226.23109612395,520.3932682466158,444939.12731132144,95,2020-04-01
ensemble,2020-04-13,44849.44888916245,488.1521501600716,607939.6744224309,95,2020-04-01
ensemble,2020-04-14,54044.39564849017,455.83675679177793,834524.1522409632,95,2020-04-01
ensemble,2020-04-15,7432.622844135879,1655.525544188254,22367.26059609532,95,2020-04-15
ensemble,2020-04-16,8638.880081263202,1509.173249039416,29753.59452646551,95,2020-04-15
