model,date,mean,lower,upper,ci_level,forecast_date
ets,2020-03-01,2.0685068461987064,-0.6270979898521054,11.768235416271738,95,2020-03-01
ets,2020-03-02,2.103630299231159,-0.6228296140410383,11.91438652007875,95,2020-03-01
ets,2020-03-03,2.1391558397703982,-0.6185123990274768,12.062211160687964,95,2020-03-01
ets,2020-03-04,2.175088089347229,-0.6141457930137952,12.211728741871344,95,2020-03-01
ets,2020-03-05,2.2114317236883303,-0.6097292381275256,12.362958897766033,95,2020-03-01
ets,2020-03-06,2.2481914722041934,-0.6052621703572815,12.515921495698532,95,2020-03-01
ets,2020-03-07,2.285372119577137,-0.6007440194880518,12.670636639044783,95,2020-03-01
ets,2020-03-08,2.3229785055871703,-0.5961742090358548,12.827124670126627,95,2020-03-01
ets,2020-03-09,2.361015526282143,-0.5915521561817503,12.985406173145149,95,2020-03-01
ets,2020-03-10,2.3994881352193147,-0.5868772717052013,13.14550197715134,95,2020-03-01
ets,2020-03-11,2.438401341494254,-0.5821489599167835,13.307433159054565,95,2020-03-01
ets,2020-03-12,2.4777602142574757,-0.5773666185902306,13.471221046669442,95,2020-03-01
ets,2020-03-13,2.517569880147076,-0.5725296388938174,13.636887221801516,95,2020-03-01
ets,2020-03-14,2.5578355261872856,-0.5676374053210664,13.80445352337226,95,2020-03-01
ets,2020-03-15,1061.2461748763453,149.58598283135547,4083.516613064429,95,2020-03-15
ets,2020-03-16,1491.702509851299,165.52933170194217,6484.055076283291,95,2020-03-15
ets,2020-03-17,2117.2713385382676,179.19567288795267,10521.992079164516,95,2020-03-15
ets,2020-03-18,3032.228368667231,190.19751641470128,17412.278584784002,95,2020-03-15
ets,2020-03-19,4377.012272107315,198.30759541294017,29329.410317297985,95,2020-03-15
ets,2020-03-20,6360.478620154181,203.43847247161293,50205.33899969471,95,2020-03-15
ets,2020-03-21,9292.59671110357,205.62216115942277,87220.48472085358,95,2020-03-15
ets,2020-03-22,13632.34860947061,204.99048182570505,153613.57186834994,95,2020-03-15
